Penulis,Komentar
@德穆斯,"Jumbo adalah hasil film real budget 
Film sampah merah putih one for all adalah hasil budget yg dikorupsi dr 7 milyar jadi 10juta 
Pemerintah makin nantangin minta dikudeta mau kaya revolusi prancis ya"
@astrolover-9,6 miliar sia sia
@herysusanto2730,"gratis pun kalau kayak gini gak mau nonton,.. ngabisin waktu aja"
@jonitan78,KEREEEEN SKALI KALO DIRILIS TAHUN 1950
@iamiver,"Salam interaksi bikin animasi
Duit miliaran ngakunya modal bakso plus air mineral
Intinya audit sampai ke akar!
Sok asik nyampah di bioskop !"
@depoalip,Bagus kartun adit sopo jarwo
@jendrimadsunari6545,Film paling terburukkk animasi muka nya bikin gue muntah darah
@TutiResdiana,Jangan di hujat juga kali kasian
@AscakeiTsano,SERIUS TANYA... INI KOK MIRIP FILM UNYIL YO SEKILAS..LATAR GS DLL
@Thealwayson,"Filem animasi drak web saingan mie fink ,nyari bendera ke markas kartel"
@ajengsafitri6576,Belajar sm film jumbo mending
@joelfrin1315,indonesia 1890
@Air_editzzz,"""BerHntyii jnYann LanJyutt"""
@rian_satoru,Bagusan demon slayer
@silentjackbox6554,"dinihari tadi udah ditarik dari upcoming list bioskop gaes,  that's so close!"
@yoyonatans,Tapi malah penasaran nonton hlo. Krn jd hiburan dikala streess Krn korupsi di negri ini
@fredrickariansyah1886,God bless indonesia
@dhawyrisha7253,Wow di gudang desa ada senjata api
@yeDelapantiga,animasi nya udah jelek huuuuu
@naufalarsyila9965,Kok jadi malu sendiri liatnya...
@FansNaa.,1:47 Suara Ny Kyk orng Ceramah 
@Rea.136,Kek animasi jaman Majapahit euy
@alexanderbryan2091,FILM BURIK MENDING GANTI GRAPHIC EPEP
@Igedecellodinantara,Tf is ts?
@indriyani4863,Gak sesuai dgn budget yg katax 6 M saya beri rating 1 ja masih kalah jauh sama jumbo
@cadistiani,film anomali
@Willi-m1d,Bikin mataku sakit
@ivanbennysajow,"Sangat2 jelek dari segala segi dan segala sisi ya ampyun.. saya cukup nonton trailernya saja. Gak mau buang waktu sia2 sejam nonton film kartun terjelek sepanjang masa. Sama kartun Disney, DC comic tahun 90an aja kalah jauh. Malu ama Upin ipin."
@KimAndreaChannel,Kebangetan si klo harus tayang di bioskop. Harusnya di Spacetoon. Msh oke lah.
@ENDPEARL,"Bikin Bangga Indonesia  
Bikin Malu Indonesia "
@BR_167,Karakternya serem
@nestaalkhalifi19,absen yang demam abis nonton trailernya
@adelwaiz2666,hahahhahaha.. kartun apaan sih gini.. bagus lagi malaysia
@nauraart6,"""berhentyi, jyangan lanjyutt"" apa coba"
@checiave1799,jelek jeleknya film ya ada disini 
@Christiannn21,ini masih tahun 1990 ye?
@adiethyupz4417,"editannya kelihatan bgt,gmbar kasar,kaku"
@21heaven,Aelah
@nnlchannel,LAILAHAILALLAH 
@AgeraNur,LAMA-LAMA SAKIT MATA GW LIHAT VIDEO INI. MEMALUKAN!
@EDK-Channel,malu
@ajivbohemian,Cinepolis lu gk malu posting beginian
@ruzanadhiauddin1171,Bendera hilang bukannya bisa beli yg baru ya?
@左-Xsora,bykan ny beli ke pasar
@rizaldi5144,"Bener bener malu maluin INDONESIA banget ini film .
Grafik nya kenapa seburik itu 

Gak kebayang dah apa kata dari negara negara lain KLO ini film animasi buatan INDONESIA ."
@ReifanPrasetya,GRAFIK NYA BIKIN SAKIT MATA NAJISSS
@ST4R_aCORN,Kok ada pistol sama yang lain di tempatnya bendera merah putih
@faizalwaris4704,hahahahahah
@vansaboy,Mata ku sakit woi
@YAOSIMING,Masih bagusan little Krisna jirr
@qyaras,busug bgt
@tribagus3578,0:54  berhenti jhangan lanjyut
@FunAIedits-l1v,0:42 bendera beta gudang benderanya hilang! Oh noo
@DanielRudiPutra,Ini sih udah mencoreng perfilman Indonesia..kmaren udah ada jumbo yg mampu menaikan film animasi Indonesia.. sekarang ada film begini.. parahh
@Yuzionnn,Hapus aj ini filmny malu maluin indo
@hudamodly7913,"Pesona film 6,7M"
@HasnahHalish,Jelek bngt anjr
@ichaeriana3133,"actually this ""merah putih : one cone tall"" right?"
@harunwibu3777,Proyek cuci uang bjir
@zero-10-v1h,ini yang katanya mau bersaing sama kimetsu no yiba?
@aneenlovers,Bikin malu nih film
@jeromefindley-q9q,𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17️ emang udah jadi inspirasi konten kreator banget
@Hdhsjsjks1838,"Garing, filmnya gak bermutu. Makan tuh animasi burik"
@SomaSja,Bikin kok gini
