Penulis,Komentar
@fansjunhee-222,"0:02 pelukannya aneh, tangan sama tangan nyatu
0:07 kenapa harus TH? , Gak bisa di perjelas dengan kata ""Ke-80"" 
0:13 senyumnya creepy + aneh
0:20 kedengerannya anjing
  tangan bengkok+ dada panitianya woilah
 Gak sinkron kata² nya , kenapa gak ""Tapi benderanya hilang""?
 markas kartel+ barak militer
 Bukannya beli aja di pasar, Mana jalannya kaku
 berhyentyi jwangan lanjyutt
 hati² nya 4 kali dong , terlalu kaku kata² nya
 mulut sama omongannya gak sesuai
 rambut nembus topi wkwk"
@rrrrr716,Horror bgt ya
@akunyutub012,"Pasti ini mah ada salah satu instansi pemerintah minta dibuatkan animasi dan terkesan dipaksakan untuk dipublikasikan. Kalo murni pihak swasta pasti mereka udah tahu bahwa film ini buruk dan gak akan dapet cuan. Bioskop juga kayanya nurut aja untuk nayangin ini film. Ya tahu sendiri lah, konoha kan sekarang negera ala ala."
@noorhadi6022,KARYA HAMA IQ78
@asprhyu-q4p,bagusan grafik epep
@dbellong,Sudah bagus ada Jumbo eh malah nongol yg kayak gini
@yamalap-g,"Ini film anomali banget sumpah,bahkan AI aja tau ini low quality"
@lianggamang,Film sampah wkkw
@PINEAPPL-g9z,Gw yakin banget ini pasti yang belum jadinya biar jadi plot wist
@nandafirza30,gila kalah sama swasta cok cok
@Chandrikasri-s3h,STOP FILMNYA Janguann lanjiyyuutt
@dikiralucukah,untung batal tayang di sini
@indrasahidun,Kartun apa ini
@markusgurning6321,opo iki cokk
@mayothegoosereal,edit guna capcut kot.
@agitmustari5759,"6M nih bosss
Senggol dong"
@its.jee15,film yang sangat tidak jelas
@TigaDelapanGroup,Saya bersumpah tidak nonton film dengan animasi terjelek
@Ri__rin.,animasi apaan ini jir?? woilah ngakak banget cik
@AlDzaky-mg6xd,1:39 rambutnya tembus topi
@AdamRayyan-q9w,"00:10 masha in the bear
00:32 masha in the bear lagi
00:38 celana baju merah robek
00:39 gudang sekolah ada senjata
 padahal ada pasar tapi gak beli bendera padahal ada
 tulangnya patah
 jatuh di kiri jatuh do kanan
 hati2 nya banyak kalii
 padahal ada ular tapi mala ularnya lari
 anomali burung
 bocil suaranya kaya dukun"
@bellatrixlestrange6704,Bagusan Ai
@SuryaWeeviL,ini tugas siapa yang ngumpul ampe keupload ?? serius nanya bang...
@DedenSusnandar,Kayak film tahun 2017
@AzuraaFanz,"ini film animasi apaan ? eh busyett.. , kalo gak bsa buat animasi, uang 7 M itu libatkan animator2 indonesia yg sudah berpengalaman. dan buat sebaik mungkin.. bukan asal2an kaya gini"
@justyouraveragecountrybump5558,the amount of abnormal shits in this trailer alone is craaàzyyy... can't wait for the whole movie 
@Mas_rerey,Pas bagian jatuh nya ngakak njirr
@JerriJer-u9u,Ga malu?
@jalohalikhlas-t4b,"Di ingatkan jangan menonton film ini,sakit mata Dan gaa masuk akal"
@DCPARADISE,Film pasn ni cok 
@YanzzZ44-j9b,"Grafik nya hd banget, dari saking hd nya Sampe adeck ku Harus pake kacamata untuk Selamanya "
@PramudyaRafifElRahmad,AYO KITA SAMA2 BOYKOTT FILM INII!
@Kiya_Ackerman,"Buat sendiri
Beli sendiri️"
@auliafaiza5792,Matanya pada juling kenapa dah
@simak_terus,"Sudah di set play 1080p tetep aja burik, Kacau bener "
@elalizzygrant,"jelek bgt sumpah, kalau diliat sm negara lain malu bgtt ihh demi Tuhan gak ikhlas bgt kalau film sejelek ini tayang di bioskop, malu maluin negara aja. beneran nih film se kaku ini anggarannya sampai 6M? hahaha ampun dehh, udh banyak yg minta jgn tayang, kalau jadi tayang siapa jg yg nonton wkwk. pikir"" lagi deh yaa kalau mau nayangin film ginian."
@TegarBudiPrasetyoTegarBudiPras,Jelek banget
@EthanGAMING-n1h,"""Beta buka gudang, nemu kuthang"""
@nurefendi5716,"6.7M buat film kayak gini? Itulah Indonesaaaaaaaa, matane!!!!"
@arganiadhyaksa916,SERIUS FILM BIOSKOP KEK GINI??! INI 2025 LOH!!!
@myfavJDM,grafiknya kayak video pmbnhn
@de4aniezss,"beta buka ghudang benderanya hilank 
berhentyihh jangan lanjyutt"
@AditamaSatriya,tafak apaan ini
@AzzamPrawira-w7e5x,"Kenapa ya orang"" ngehujat flim sebagus ini? padahal ini bagus banget lohh,bagus buat ngerusak mata,jiwa,raga,dan walaupun flim ini juga bisa membuat Indonesia bersatu... Bersatu menghujat flim ini"
@herdiansyahesc8667,Haduhhh
@ItismyBowling,Kaku ihh flim animasinya Ai sama video ini bagusan Ai gkasih gays
@jfvgg,Contoh nyata kegagalan produksi
@sofiyanti4660,Kan lewat pasar kenapa gak beli bendera nya
@sunshine-k1sn,1:46 jyikAh kyaliaN inGin Bvendera iNicH taNgkaplAh BurUng yAng TaDi kyAhlian lePaskaN~ 
@servantofgod8222,
@MuhammadFauzan-l2d,MIMPI BURUK KALO DIBUAT JADI ANIMASI
@jokogitusih8504,"JELEK SUMPAH.
Sy punya rekomendasi kalo tau punya duit mending ajak tim DOES UNIVERSITY sekolahnya erick soekamti di yogyakarta itu jauh lebih baik drpada  film ini"
@putriprinceadskhan9247,Tidak bisa berkata² aq jadinya ️️️️
@VeliveFesta,Bagusan thomas and friends jir 
@Wongkokunikk,grafik kartel njir
@someon-e1e,Picek mata!gw
@novitaalya-w5h,Jelek  banget animasi nya
@TheFourHorsemen44,"Keknya aku edit pake capcut lebih bagus deh, dengan sound design nya yang sudah tidak tertolong begini"
@adan3956,"Kek gini nau tayang di bioskop, proyek pemerintah pula. Pada punya malu ga sih?"
@BonbonFam,"bahkan, animasi dongeng dari kaset VCD hadiah susu Dancow tahun 2000an lebih bagus dari ini "
@HNproaudiorembang,Burik 
@nanangbhramantya5228,"anakku yg umur 9th aku kasih liat ini & tanya pendapatnya gimana langsung dijawab ""burik"" dah gitu aja.."
@Zyness11,1:14 ada karakter lari ninja gk tuh
@bangnan777,Padahal ada banyak bendera yang berkibar di gerbang. Hadeh.
@Moonlight_pinggs,"burung suara monyet, kocak"
@raffigranger,Kalo di bandingin sama sopo jarwo mending nonton sopo jarwo sih
@andradjibran5645,END GAME juga gak ada apa apa nya jir sama ini
@bunkdoni9793,Menuju kemunduran bangsa 2045
@onkuadrat1077,Konyol
@berthonhutagaol81,"YA AMPUNNN JAMAN DIGITAL BEGINI, INI ANIMASI HANCUR BANGET, BIKIN MALU INDONESIA AJA, BAGUS TIDAK USAH TAYANG"
@maulanaasad5445,"woy anjenggg film apa ini kocak, mending kau tf aja ke aku buat usaha jual arak jembott, bisa profit jadi 6M 10 ribu "
@heriyantodimas,jelekkk bangett
@orangtertypo8249,bang nanti basuh pinggan
@belajarbareng6283,Pertanyaan ny knp bisa tayang di Bioskop sih... Hadeehh malu maluin 
@rakha_thhar,"jujur sakit mata nontonnya, lightingnya jelek, ceritanya kurang menarik"
@ireshanraty,Takut banget kepencet mesen tiketnya
@tegarengay41,anggarannya 6.7 miliar tapiii jelek bet anjirrrrr
@Suriansyah-z2d,Berhenti jwangan lwanjwutd
@pigman7774,FILM JANCOK
@pinjuladi7212,"1:55
TINDAKAN APA YANG AKAN DIAMBIL?
TINDAKAN APA YG AKAN DIAMBIL?"
@bluishcloud3055,"Indonesia 80 tahun 
Indonesia tahun 80 "
@NailahNadiah,8m kayak film roblox
@kotarohardrockbontot1924,A wokwokwok wokwokwok
@gregoriusbayuaji7962,Pliss cinepolis janganlah rusak reputasi baikmu dengan menayangkan kartun ini 
@GaedufDoy,"""Pokoknya besok tugas dikumpulkan! Selesai ga selesai dikumpulkan"""
@Violet_OWO-x1z,WOY LAH TU CELANA NEMBUS SAMPE KEK CELANA BOLONG ITU BAH
@Azka8SDA,01:00 pasti sakit tuh rasain
@Zivy17,singkat saja JELEK BANGET 
@Mochi_12d,Kok bisa masuk bioskop? 
@YanzzzspSslyanss,Darkweb cok 
@GL1TCH-3D1T,"6,7M buat donasi X
6,7M buat makan uang rakyat akkwwkwkkwkw"
@lailaza_2152,apa ini anj
@IkaSipahutar,Sakit mataku lihat pergantian slide ppt ini deh..
@herisulaksono6138,"bangga dengan anak TK jaman sekarang, sudah bisa menghasilkan animasi seperti ini"
@IkaAndrianti-b7o,0:44 aduh kebelet eek 
@yonitakkato9305,Ini di buat hanya untuk kegaduhan negara ada agenda lain yg sedang di garap
@ririirhami7683,Ini iklan atau film kementerian kan? Untuk dokumentasi pribadi kementerian kan? Bukan film yg tayang di bioskop dan harus bayar gt kan? Iya kan? (Bertanya halus memaksa minta diyakinkan)
@rachmatariadi2708,Jelek banget kocak
@ErickMorales-w3f3d,Ko animasinya bagus sopo jarwo ya...kurang detil...
@lingganesia,Kok jelek to?
@agungsfamily1673,Keren bgt! ini asli dibikin sama anak SD?? Pasti gedenya bakal jd animator hebat!!! Salut!
@allunaqueenYT,cari bendera ke hutan lewat pasar ada yang jual bendera kenapa gak beli
@sunzcyyyyy_,"beta buka gudang, ad putri Padang"
@ArgiaRande,Jir  film apa ini grafiknya lumayan tapi gerakkan nya harus di perbaiki y  
@alfredoristanoen251,Akhirnya beli dipasar burungnya
@maiiganzz_0295,"anj mata gw perih abis liat animasi ini,sbenernya niat gk sih bikin animasi?dana 6M kok gini satt"
@yazidfanani4057,Jelekkkkkkkkkkkkkkk
@Masak_Ibu,Jijik liat trailernya juga
@rul3g,Gyatt
@mattkurniawann,harusnya judul filmnya itu Money laundry one for all
@Harry001-c2b7n,0:23hansip tobrut njir
@cosprite_indo,Kok ada ak 47 digudang wak
@narendracetta8025,Celananya bolong
@chizuez,"1% ngerjain film
99% nyogok bioskop nya

REAL or FAKE"
@RizalFaiq-h2j,Njis
@lyraalmayra,Suara burung jadi monyet gaje
@Fuadamasy,takut bangeet kebagian tiket
@bigbomber528,"Ngapain cari bendera didetik 0:08 banyak kali bendera, napa gak diambil 1 dulu "
@Azzamchannel26,"Takut gak dapet :
Takut dapet :"
@Jaka_Sastra_Regan,Klo dibuat adik2 SMK jurusan multimedia yg baru masuk th ini mungkin lebih baik hasilnya
@dragonsiji,Malu-maluin
@Lightha,Takut banget kebagian tiketnya
@Davidbrn123,Kenapa anime jumbo lbh bagus 
@humammukti3055,Lebih bagus kartun keluarga somat
@majalayando-ball,Kalo lawan boboiboy kalah mah ini 
@tafaboy9825,8 Bit 
@radityoakbar2182,"Kenapa gak beli di pasar,bendera nya?"
@dwiharianto5233,Indonesia tidak kekurangan  orang pintar tetapi Indonesia kekurangan  orang jujur. Inpo korupsi
@BILQISIPE-is8uq,Film gendeng 
@yuliamorla,Tinggal beli lagi benderanya
@ARJUNMAHESWARAPAUNDRA,"film sangat bagus, menarik untuk ditonton. membangkitkan rasa nasionalisme"
@Alyacute468,"Burung
Monyet"
@Pengkomen-handal,0:44
@SpiritEnkush,blyaaaaaat
@KingKong-f4s,Buset apaan nih mending nonton spongebob
@Lazyra17,Sakit mata 
@homtaaaaa,mending upin ipin darkweb
@indrapradityachannel5047,"Mohon ini di take down saja, ini memalukan ! Harga diri bangsa jadi taruhannya !"
@habiburrohman2767,filim peko
@haqqireza383,Lebih bagus adit sopo jarwo
@Ricky-tzx7,Film apa ini cokk jelek banget
@_ramasr,ancurr nih negara
@Rayyz1707,baru trailer nya aja udah gak demen gimana nanti full movienya
@GerryBonze,Lebih bagus karya LAKON STUDIO.
@anwarbabi123,HAHAHAHAHHAHAHA
@MonikaPalupi,"mungkin buatnya tahun 80an, baru sekarang direlease..surprise!"
@lorenzodevan9430,Kan tinggal beli bendera di toko atk gausah susah susah sampe hutan dan kok bsa bendera disandra?
@kawannobar2060,"apakah pantas hari kemerdekaan di rayakan jika para elit saja masih korupsi uang  kemerdekaan ,logika saja"
@nurrlatif,mending adit sopo jarwo
@nisanurfaizah4472,lebih bagus flim dulu dari pada ini
@bloschannel,Mending nonton adit sopo jarwo anjir lebih bagus dari ini
@sakiashizawaofficialfans,Dark web movie
@anggaramaulana-v6n,buruknyaa
@fajaredogawaa,"KEREN BANGET, BERASA TAHUN 2030"
@AhmadM-x9v,Gobbblllo
@AzkaNaufal-y3h,No mata gw
@AdrianSyam,film terjelek  bro masa di gudang ny ada senjata trus suara burung kok mqlah jadi suara monyet
@renaldypalgunady5710,Burik nya.....
@YusranFelix,Shootingnya pake kamera resolusi 144p
@xlgaming2225,Gak niat bikin kartun
@AndriesAgreste,Animasi dari planet mana ini dawg 
@Sevenvideo7,ini beneran akan tayang di bioskop?
@1tsfairy,gamau tau dislike videonya  liat trailernya aj udah ogah
@shahshahril7536,
@FunAIedits-l1v,"0:33 suara cowo berubah jadi 1:17 cewe mana slay banget lagi anjirrr ""LiNAa MaNaA?!?!"" "
@hanisasaputri7679,Gelisah banget gw nonton trailer ini
@fayzaaj,Maaf tapi kan tinggal beli 
@joachimariandosirait6199,film jaman masa kejayaan kerajaan tarumanagara
@bagas6392,"INI SEMUA EFEK BENDERA 1 PEACE 
Gini amat tetangga malaysia "
@fayyadhwangi,Absolutely cinema 
@erikactivity,bikin merindiing
@mr.music117,sejarah baru animasi terjelek indonesia
@lukaskurniawan.1522,"Cinepolis hebat, film sungguh luar biasa. Baru nonton 2mnt aja bikin mata nangis "
@NazlaLulu-b6t,"arsip aja min, trauma nonton trailer nya"
@denisa6863,11 12 sama animasi indosiar 
@gunturwidhiatmoyo6318,Film ini tentu akan memecahkan rekor sebagai film dengan jumlah penonton tersedikit dalam sejarah perfilman Indonesia
@alfreidhobanderas5872,Mendingan EPEP dah
@banguntriwijayanto256,Asli jelek bgt kualitas gambarnya 
@AdungSani,selesai gak selesai kumpulkan
@tohsdog,Kok animasinya sekelas AVATAR?
@awriezz,WKWKWKWKWKWK
@es_batu-l5b,Anomali burung bersuara monyet 
@bebipintar9079,0:44
@akmalrizal8812,Mampu gelak je
@iqbalaakbar9067,"Ini settingnya di hutan amazon kan?? Burungnya macaw biru merah dari brazil. Katanya nasionalisme, kenapa ga pilih salah satu satwa prioritas bangsa "
@rasalemonracing58,Ada Paul Pogba 
@pusvanikharisa,"Absen yg meninggal gara"" kartun satu ini yg bener"" jelek grafik dan kualitasnya pdhl 6,7 miliar wkwk kaku bgt"
@ameliasundari5405,Aturan mah beli bendera nya di pasar eh ini malah cari ke hutan hutan tanpa orang dewasa
@indahlazuarini1602,"Buat apa bendera dicari sampai ke hutan, bisa beli di pinggir jalan byk yg jualan bendera atau beli online "
@maulana4238,Amit amit
@DonGaming0310,Macet2 gitu gk smooth
@DarkBites22,"dari gta, the sims, burung monyt, ular naginz "
@Zil_al_ayyubi,Terang banget kontrasnya 
@Atmocats183,Mending beli bendera yang baru aja deh 
@Rchxndra,Cinepolis juga menayangkan..let's gooo 
@HOOH-tzy,ngapain cari bendera sampai hutan gak jelas
@FaisalRamadhan-w3d,Kyk kon
@kingadiet2219,Masih bagus film kartun Adit dan Sopo Jarwo
@NZL_14,Woilah nemu doksli 
@indahwidyastuti6307,"Baru kemarin bangga punya animasi sekelas jumbo, eh balik lg ke jaman baheula"
@naimulfirdaus9073,Bawa nama lambang negara loh kalian blok
@alfiah5108,"6,7 miliar, sagat sangat sangat diluar nalar"
@HengkiIrawwan,ALTERNATIF KORUPSI INI MAH 
@masmasbiasa196,Ps 1
@DedeDodong,masih bagus adit sopo jarwo
@maxxdewa,kok KEREN kok setara DISNEY kok se level ama PIXAR
@venadecember5890,"Mungkin terbentur waktu jadi nya harus tayang juga.
Ayo dukung kreasi Indonesia yang lebih baik go Indonesia.
MERDEKA 🇮🇩"
@Yuzionnn,Yg buat filmny fiks lagi ngobat
@roscoeoconnor-v4t,"Gue follow ️𝑰𝑺𝑻𝑨𝑵𝑨𝙱𝙴𝚃17️ bukan karena ikut-ikutan, tapi karena EMANG KEREN!"
@CaRum-x2f,huek cuih bagus an Adit Sopo jarwo
@aliongho2951,ini kyk game ps2 jadul
@kimlongill,HAPUSSS GAK!!!!
@Chochote404,Sumpah masa suara burung malah monyet!
@rinarizaldi6985,Kocak
@Yarraarts,"Ya allah, gue tuh ga pengen ngehujat. Tapi ini keterlaluan..abisin anggaran 6.5 M buat film beginia"
@cristalinowinstons9428,Lu malu²in tau gak?
@Pemulaofficial-qb6xy,desainer aja bilang ini sampah animasi
@Schlegelsteinhausenbergerdorff,Dari animasi sampe pengisi suara ancur semua. Wkwk..
@ancuran.peyek11,"Liat trailernya aja bikin sepet mata..gimana nonton di bioskop 1 jam lebih, langsung kasit mata kyknya"
@mohammadzamroni7160,Izin pake trailernya min
@titinaisyahfitriyani9573,"Aduh 
Kox gini?"
@RaditSeptiadi,Mata gw sakit
@Clukerr-i3c,Mata gua sakit liat ini
@Fikrioniz03,Waduhhhh kok film nya memakai nama merah putih sihhhh mending film nya bagus dan HD banget kalau itu mahhh animasi nya kayak adonan ttepung enggak ada istimewa nya 
@myudhafadhilah,baca komen di IG katanya animasinya kek ps 2... stelah cek trailernya.... ternyata bener...  kalau ini di edarkan tahun 2000 mungkin bisa booming grafisnya..
@sunshine-k1sn,"""0:42 beta byukA gYudang beNdera nYah HyilaNg~~"""
@rizkyf27,"rusak, rusak perfilman kartun indonesia.

mending nonton spongebob."
@ValzeeHS,"Dah pake 1080p masih aja burik, bikin mata sakit, buang buang waktu juga, animasi jelek dubbing ga niat karakter nyolong, bintang 1"
@user-vr10cw5qf5q,"Klo ini rilis tahun 1991, gw jamiin pasti booming...."
@nurshahira4662,"Ku kira monyet, rupanya burung"
@ariadera2432,Innalillahi wa innailaihiroji'un ini film
@wulanmaulidya5844,Mending sopo jarwo
@Muhammadherys88,"Nyari bendera doang aja Ampe ke hutan,knp ga dipasar aja"
@Yameteh69420,ABSOLUTE CINEMA
@AdiosEstupido-i4b,Grafik PS 1 wkwkwk
@DeniAkew-k4h,Sincan lebih bagus 
@AndreaAquera,Nonton pokeb aja
@IchaManiess,"Bendera tinggal beli di pasarr,,grafik bikin sakit mata"
@channelfebw,Pakai AI aja AI pro
@DianKim-g7s,Transisi capcut 
@VitriFabian,Ngapa coba nyari bendera kan ada di gang merdeka itu
@Feleciacantik,"Cinepolis Indonesia : "" EGP """
@Awang908-bg8ky,1:50 ada si nerd
@ARS_animasi,0:54 slayyy olayyyy
@FadhilWafiq-v9e,sini beli bendera gw aja 8 ribu
@signifocanvas,gosip dari mana 6.7m? 67 juta gw percaya.
@nickysumigar,Malu dong sama ipin upin 
@albanierama4217,BAGUS BANGETT JADI GA SABAR PENGEN NONTONN!!!! HEHE
@HaekalSiregar,"PS5 udah keluar, animasi bioskop masih setara PS2 "
@UwaWAHIN,Mending nonton anime ajay 
@subahiralamsyah3863,jauh kemana mana kualitasnya sama upin ipin
@billielachatte4841,"Keren nuansa retronya, keliatan produksi tahun 2005."
@doyongdarso1872,Msh bagus upin ipin
@mubarakduniawi5026,"film sampah, lebih bagus nonton upin ipin yang sudah nyata kualitas nya"
@XiaomiNote12-z8u,Ini film anime terbaik di Indonesia yg bisa menyaingi demon slayer
@ajine_23,padahal bikin filmnya abis biaya em em an ini...tapi ko kualitasnya? bagusan hasil ai konten kreator pemula
@samyoung783,"Entah obat macam apa yang di minum sutradara, alur ceritanya ngawur wkwk"
@yogiafrianto7983,Ihh takotnyeeee
@Railfans_Kereta_Indonesia,0:39 marah nya kayak nggak masuk logika
@curtriandalealdave2330,I'm from the Philippines. Someone says it's sad they had this kind of movie cartoon. 
@herdikhaerul4067,"Nonton cuplikannya aja bikin sakit mata & telinga, gak kebayang kalo nonton full "
@indonesiamerdeka89,Apani woi
@ARS_animasi,0:54 berhenty jangane lanjyute
@inspirasingapak7556,"Ibu pertiwi menangis melihat film sampah ini , sungguh miris aib bangsa"
@HackerIndonesia-l6u,"Kayaknya ini hanya jebakan nanti kalo  udh tayang itu malah  baguss menurutku sihhh,sumpahh ini memalukan sekali"
@linggatridana,Ngerakeun ajig!!!
@Amdjmtchannel,Film jelek
@muhammadnajib1106,pov: dikejar deadline
@Jayawardana21,Bisa jelek gt ya
@KyyybloxWZ1.21,1:19 jumscare
@nanajaemin8188,"Berantakan bgt, semuanya"
@DIAMONDGOLDD01,"Padahal cuma Bendera bisa""nya disandera"
@glow_pretty,"dengan ini Indonesia bisa bersatu, bisa bersatu ngehujad filmnya"
@Cheesec4k3_0,cari bendera di gudang senjata bagus.Ular nya Sangat realistis ya baru brung nya terbang nya realistis sekali Saking realistis nya sampai buat mata orang sakit jadi merah. animasinya jelek
@lordanthem6381,"anggaran 6,7 M hasilnya kek begini,, cinta akan uang memang akar dari segala kejahatan.. semoga Tuhan mengampuni kalian "
@raffifahh4108,"1:09 jatuh tapi ekspresinya datar banget  mana mata karakternya pada ga hidup bgt lagi, heran kok bisa masukin ni film di bioskop"
@UnknownGuysCH_ROBLOX,0:59 broken bone moment
@muhamadhadiridwan4043,Kont
@dennisalex8060,Animasi anak TK  cukup lucu untuk anak TK saja
@ReyfanOFFICIAL-x2n,Satpam nya tobrut
@hendrijayakristianto7456,0:45 Aduhhhh kebelet eeekkk
@AdibAdib-ly3el,Burik banget njir 
@ivanbennysajow,Kartun nya mirip roblox 
@parapencarirezeki296,bagus kaya minecraft
@KyyybloxWZ1.21,Di bilang hati hati malah gak hati hati
@JustJunawae,Grafik nya kyk ps 2
@chickensoup5332,JANGAN DITONTON
@freedomforlyfe2946,"Gila aja karya gajelas kaya gini di suguhkan buat bangsa indonesia. Niat nya bangkitin rasa nasionalisme tapi ngeliat nya aja kaya gak niat bangkitin nasionalisme, kaya produksi yg di korupsi kaya yg udah-udah."
@NurMaulidanAzizi,Keren
@Nfzmc,Burik
@gw-LANANG,Masih bagusan keluar somat
@dickyherdian5404,Njir buluk banget ya
@ramdlaniihsan6913,labih bagus film keluarga somat
@putragaming8883,Bagusan dot dsain
@ANDRIPRAYOGA-d7y,Ini film horor?
@drajatnia9098,Bendera hilang bisa d beli d pasar pramuka.. 
@LudiAchmas,Bagus buat tontonan anak kecil yg tidak tau apa2
@dolliee_b0mzz,JLK BGT
@nabielpark1939,FILM KARTUN TERBURUK SEPANJANG SEJARAH
@iraMaulidaayy,"aku suka alurnya tapi kenapa grafik nya majapahit banget,trus dubbing nya ga jelas,""ko ni bagaimana,bendera,beta buka gudang bendera nya hilang"", sama satu lagi di menit 1:01 : kepleset nya dimana jatuhnya kemana"
@Tomipratama98,Bagusan Kartunnya Keluarga Somat Dari Pada Ini.Yg Ini Isinya Anomali Semua
@muhammadbagusadikusuma9955,"mata saya minus, tambah parah mungkin kalo liat ini di bioskop."
@diaryumma_nana,
@FantyaCerebellaAslamy,Wahhh aroma KORUPSI nya KUAT SEKALII 
@hanzz_elaaaa,"""berhenti jangan tayang"" "
@hellohello5hguy,vro.. 
@FitriAni-ve3yf,dawgh blud benar benar mengisi gudang nya dengan m4A1
@vitaranisa5725,Upin Ipin ketawa liat ini
@lonnymarquardt,Gak lengkap kalo hari-hari tanpa konten dari ️𝑰𝑺𝑻𝑨𝑵𝑨𝙱𝙴𝚃17️
@DafiMuhammad-is3nj,"Nyari bendera amoe ke hutan,padahal gerbang nya ada banyak bendera"
@Anastasya-p3h,1:05 'awas hati hati' nya bikin boros batre bngt 
@muhiksaniksan4241,wao ada aka4
@RevanAlthafiasany,Film kon
@ahmadmustakim1456,Film blur ngene
@AllySsa-qs4ey,
@Naflaaa24,Aduh matakuuu
@ArsyadAufar,Absen yg mual setelah nonton
@cyrilhamrick,Gaya kontennya ️𝑰𝑺𝑻𝑨𝑵𝑨𝙱𝙴𝚃17️ selalu beda sendiri
@Nagari2637,Lost media
@zarroott,"ih jlk bgt, mf ya "
@Himbruh2016,Ini bagus banget saking bagusnya aku akan muntah
@Ferleo11,"kepleset ampe kepala kebentur tp soft spoken bnget.,aduuuuhhh"
@duniamewarnai2774,"Sangat indonesia....
Meskipun jelek....tapi itulah indonesia saat ini....
Terutama di desa"" Tertinggal.
Mulai dari lokasi-kualitas sdm.nya dll"
@TetapTegar-s2f,Lebih bagus jumbo
@nadasetyawan7189,"Ini yg buat animasi modal ordal ya pasti.. lulusan SMK grafika aja bs bikin lebih bagus dr ini kok.. ya Allah, maluu aku"
@saladinsaladin7236,Tonton sendiri aja ... G usah di publisitikan....  bikin malu aja ....
@teemarcell,Yang bikin film resign aja haha. Gak cocok hidup kamu. Bikin malu 
@joymaradona7695,"kacauuu.... spertinya yg bikin grup anak2 pejabat yg br belajar, bgitu jd manfaatin jabatan bpknya utk lulus seleksi dan lngsung tayang"
@ungaaaY22-h4p8h,"bagus""aja kata aku mahhh bikin judul baruuu weee merah putih indoensia meme"
@Ronny_sigma145,Adek gw kemarin nonton ini nih langsung sakit wak
@miirukx,Ini apaan woi
@garz2709,animasi nya di ber baik kan
@nieran1453,Why is it so ugly?
@DzulhannanDzul,Sekarang taun berapa
@deviyustikaperwita3502,Alhamdulillah ga tayang di Cinepolis wkwkwkwkwk
@hanselgretel1745,GELOOO LEBIH BAGUS DARI PADA DEMON SLAYER WAK
@AlisyaNahyzia-w9c,Ini beneran film ?
@keylamardeva1932,bagusan dhot design
@Kicauharianchannel,Gk masuk akal alur cerita nya 
@andiusman533,Lebih bagus Upin ipin
@hanayshacahnnel6141,Lah....
@musicstudios-b7d,masak kalah sama film battle of surabaya yang rilis tahun 2015
@rizalardhi5789,Asoooo
@rdyn1907,LK21 juga males ngebajak nya
@jubahbotak,"dari sebanyak film animasi cartoon Indonesia hanya animasi ini yang grafik dan alurnya ga nyambung dan ngga cocok tayang di bioskop

bikin malu Indonesia aja"
@Temanonlinekamu,Yg buat cerita ini mabuk kecubung apa kek mana  ngapain juga bendera di sandera  klau bendera hilang tinggal beli ajalah apa susahnya  berpetualang mencari bendera yg hilang  agak gimana gitu ya weee
@bananaMAN831,Kerakter ko beli
@afarobineri1071,Animator kek ny ga bisa bedain burung Ama monyet ya
@rian_satoru,Animasi terjelek daripada tokyorafangger
@Strasse130,0:53
@GallantMarone,1:44 ntah kenapa suara kaya mirip google
@Bahrainbotkrocoff,0:51  𝐤𝐚𝐥𝐢𝐚𝐧 𝐬𝐚𝐝𝐚𝐫 𝐠𝐚 𝐝𝐢 𝐬𝐢𝐭𝐮 𝐚𝐝𝐚 𝐜𝐞𝐰𝐞𝐤 𝐭𝐢𝐧𝐠𝐠𝐢 𝐦𝐮𝐤𝐚 𝐟𝐮𝐥𝐥 𝐩𝐮𝐭𝐢𝐡 𝐤𝐞𝐜𝐮𝐚𝐥𝐢 𝐛𝐢𝐛𝐢𝐫 𝐝𝐚𝐧 mata
@Snlvy._,Resah bgt nontonnya
@ianwite9020,sayang2 bikin film...cmn bikin lu rugi doang ga ada yg nonton
@RirinWindiastuti,Berhenti! Jangan lanjhyutt~
@MhdRadian,"kek nya harus make kaca mata ples""ples ni"
@BayokAkun,animasinya burik kayak game PS 1
@SmallPollution,Film apa ini dawg? 
@naura2848,kok jelek ya maaff
@viaaviaa440,bagus banget sumpah boong
@jebiwisangga6421,"""TuNgGu~~ LiNa MaNa~~"""
@diancusk,sakit mata gw
@fforf3510,"Masih cakepan anime iklan sasa
Atau animasi nya sirup marjan"
@learningeducationsolutions2240,"Mohon maaf, saya sampai check qualitas video setting youtube ku, oh sudah 1080 ternyata"
@AndriTunru,0:50
@khaavl5480,Masih bagusan animasi keluarga si somat dripada ini
@aachannel1012,"Film animasi rilisan tahun berapa ya ini?
1982 kah ?"
@TegarBudiPrasetyoTegarBudiPras,Ini yg bikin siapa yaa kocak bangetttwkwkwkwkwkwkwkwkwlwkwlwkwk
@wulanmaulidya5844,"Animasi yg bagus itu sopo jarwo, nusa dan rara, kiko itu buatan indonesia paling keren"
@bibobalula,“Tapi benderanya hilang” … “Tindakan apa yg akan diambil” .. hadduuuhh2 keliatan bgt amatirannya
@AriefDaniel-k2s,animasi indonesia makin maju 
